Row ID;City;State;Product ID;Category;Product Name;Quantity;Sales;Cost;Profit
121;Wilmington;Delaware;OFF-BI-10003910;Office Supplies;DXL Angle-View Binders with Locking Rings by Samsill;4;30,84;16,962;13,878
122;Wilmington;Delaware;OFF-ST-10000777;Office Supplies;Companion Letter/Legal File, Black;6;226,56;163,1232;63,4368
123;Wilmington;Delaware;OFF-EN-10002500;Office Supplies;Globe Weis Peel & Seel First Class Envelopes;9;115,02;63,261;51,759
124;Wilmington;Delaware;TEC-PH-10003875;Technology;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;7;68,04;48,3084;19,7316
130;Los Angeles;California;FUR-FU-10003773;Furniture;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;3;238,56;212,3184;26,2416
134;Roseville;California;OFF-PA-10001804;Office Supplies;Xerox 195;3;20,04;10,4208;9,6192
135;Roseville;California;OFF-PA-10001736;Office Supplies;Xerox 1880;1;35,44;18,7832;16,6568
136;Roseville;California;OFF-AR-10001149;Office Supplies;Sanford Colorific Colored Pencils, 12/Box;4;11,52;8,064;3,456
137;Roseville;California;OFF-FA-10002988;Office Supplies;Ideal Clamps;2;4,02;2,0502;1,9698
139;Roseville;California;OFF-SU-10001218;Office Supplies;Fiskars Softgrip Scissors;6;65,88;47,4336;18,4464
140;Roseville;California;FUR-FU-10001706;Furniture;Longer-Life Soft White Bulbs;14;43,12;22,4224;20,6976
142;San Francisco;California;OFF-AR-10000940;Office Supplies;Newell 343;3;8,82;6,4386;2,3814
143;San Francisco;California;OFF-EN-10004030;Office Supplies;Convenience Packs of Business Envelopes;3;10,86;5,7558;5,1042
144;San Francisco;California;OFF-PA-10004327;Office Supplies;Xerox 1911;3;143,7;74,724;68,976
145;Independence;Missouri;OFF-AP-10001058;Office Supplies;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;3;839,43;621,1782;218,2518
146;Pasadena;California;OFF-ST-10003656;Office Supplies;Safco Industrial Wire Shelving;7;671,93;651,7721;20,1579
148;Franklin;Wisconsin;TEC-PH-10000215;Technology;Plantronics Cordless Phone Headset with In-line Volume - M214C;11;384,45;280,6485;103,8015
149;Franklin;Wisconsin;TEC-PH-10001448;Technology;Anker Astro 15000mAh USB Portable Charger;3;149,97;143,9712;5,9988
150;Franklin;Wisconsin;FUR-CH-10000454;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;8;1951,84;1366,288;585,552
151;Franklin;Wisconsin;OFF-BI-10002735;Office Supplies;GBC Prestige Therm-A-Bind Covers;5;171,55;90,9215;80,6285
154;San Jose;California;OFF-PA-10001950;Office Supplies;Southworth 25% Cotton Antique Laid Paper & Envelopes;7;58,38;32,109;26,271
155;San Jose;California;OFF-PA-10002254;Office Supplies;Xerox 1883;4;105,52;56,9808;48,5392
156;San Jose;California;OFF-ST-10001590;Office Supplies;Tenex Personal Project File with Scoop Front Design, Black;6;80,88;59,8512;21,0288
157;Seattle;Washington;OFF-AR-10001547;Office Supplies;Newell 311;3;6,63;4,8399;1,7901
159;Edmond;Oklahoma;OFF-LA-10002475;Office Supplies;Avery 519;2;14,62;7,7486;6,8714
160;Edmond;Oklahoma;TEC-PH-10004536;Technology;Avaya 5420 Digital phone;7;944,93;708,6975;236,2325
161;Los Angeles;California;OFF-PA-10002751;Office Supplies;Xerox 1920;1;5,98;3,289;2,691
163;Carlsbad;New Mexico;OFF-EN-10001990;Office Supplies;Staple envelope;5;28,4;15,052;13,348
172;Los Angeles;California;OFF-PA-10000659;Office Supplies;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;3;20,94;11,0982;9,8418
173;Los Angeles;California;OFF-PA-10001144;Office Supplies;Xerox 1913;2;110,96;57,6992;53,2608
180;New York City;New York;OFF-AR-10001940;Office Supplies;Sanford Colorific Eraseable Coloring Pencils, 12 Count;1;3,28;1,8696;1,4104
183;Monroe;Louisiana;TEC-PH-10003273;Technology;AT&T TR1909W;4;503,96;372,9304;131,0296
184;Monroe;Louisiana;TEC-PH-10004896;Technology;Nokia Lumia 521 (T-Mobile);5;149,95;107,964;41,986
185;Monroe;Louisiana;TEC-AC-10002345;Technology;HP Standard 104 key PS/2 Keyboard;2;29;21,75;7,25
186;Fairfield;Connecticut;OFF-BI-10001890;Office Supplies;Avery Poly Binder Pockets;2;7,16;3,7232;3,4368
187;Los Angeles;California;TEC-AC-10002323;Technology;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;8;176,8;153,816;22,984
191;New York City;New York;TEC-PH-10001552;Technology;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;6;71,76;51,6672;20,0928
192;New York City;New York;OFF-PA-10000061;Office Supplies;Xerox 205;8;51,84;26,9568;24,8832
194;New York City;New York;OFF-AR-10003514;Office Supplies;4009 Highlighters by Sanford;5;19,9;13,333;6,567
195;Redlands;California;OFF-EN-10001509;Office Supplies;Poly String Tie Envelopes;7;14,28;7,5684;6,7116
198;Westfield;New Jersey;OFF-ST-10001414;Office Supplies;Decoflex Hanging Personal Folder File;3;46,26;34,2324;12,0276
207;Saginaw;Michigan;OFF-ST-10000642;Office Supplies;Tennsco Lockers, Gray;4;83,92;78,0456;5,8744
208;Saginaw;Michigan;TEC-PH-10001700;Technology;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;2;131,98;96,3454;35,6346
209;Saginaw;Michigan;OFF-BI-10003274;Office Supplies;Avery Durable Slant Ring Binders, No Labels;4;15,92;8,4376;7,4824
210;Saginaw;Michigan;OFF-FA-10000134;Office Supplies;Advantus Push Pins, Aluminum Head;9;52,29;36,0801;16,2099
211;Saginaw;Michigan;OFF-ST-10001522;Office Supplies;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;1;91,99;88,3104;3,6796
218;Los Angeles;California;OFF-ST-10001328;Office Supplies;Personal Filing Tote with Lid, Black/Gray;6;93,06;67,0032;26,0568
226;Detroit;Michigan;OFF-AR-10001026;Office Supplies;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;1;2,2;1,232;0,968
227;Detroit;Michigan;FUR-TA-10003748;Furniture;Bevis 36 x 72 Conference Tables;5;622,45;485,511;136,939
228;Detroit;Michigan;OFF-ST-10002485;Office Supplies;Rogers Deluxe File Chest;1;21,98;21,7602;0,2198
237;Santa Clara;California;OFF-PA-10002479;Office Supplies;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);2;10,56;5,808;4,752
245;Lakeville;Minnesota;FUR-CH-10004063;Furniture;Global Deluxe High-Back Manager's Chair;7;2001,86;1421,3206;580,5394
246;Lakeville;Minnesota;OFF-ST-10002276;Office Supplies;Safco Steel Mobile File Cart;2;166,72;125,04;41,68
247;Lakeville;Minnesota;OFF-PA-10004082;Office Supplies;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;6;47,88;23,94;23,94
248;Lakeville;Minnesota;OFF-AP-10002945;Office Supplies;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;5;1503,25;1007,1775;496,0725
249;Lakeville;Minnesota;OFF-PA-10000061;Office Supplies;Xerox 205;4;25,92;13,4784;12,4416
251;San Diego;California;OFF-PA-10004569;Office Supplies;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";1;7,61;4,0333;3,5767
252;San Diego;California;TEC-AC-10003832;Technology;Logitech P710e Mobile Speakerphone;13;3347,37;2711,3697;636,0003
253;New York City;New York;OFF-ST-10001228;Office Supplies;Fellowes Personal Hanging Folder Files, Navy;6;80,58;58,0176;22,5624
254;New York City;New York;OFF-EN-10003296;Office Supplies;Tyvek Side-Opening Peel & Seel Expanding Envelopes;4;361,92;199,056;162,864
259;New York City;New York;TEC-AC-10000290;Technology;Sabrent 4-Port USB 2.0 Hub;3;20,37;13,4442;6,9258
260;New York City;New York;OFF-ST-10002790;Office Supplies;Safco Industrial Shelving;3;221,55;214,9035;6,6465
266;Brentwood;California;TEC-AC-10004469;Technology;Microsoft Sculpt Comfort Mouse;2;79,9;44,744;35,156
268;Morristown;New Jersey;OFF-FA-10003472;Office Supplies;Bagged Rubber Bands;6;7,56;7,2576;0,3024
271;San Francisco;California;OFF-ST-10003208;Office Supplies;Adjustable Depth Letter/Legal Cart;4;725,84;515,3464;210,4936
272;San Francisco;California;TEC-AC-10003628;Technology;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;7;209,93;117,5608;92,3692
273;San Francisco;California;FUR-FU-10003274;Furniture;Regeneration Desk Collection;3;5,28;2,9568;2,3232
275;Inglewood;California;OFF-PA-10002615;Office Supplies;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";2;8,82;4,7628;4,0572
276;Inglewood;California;OFF-AR-10001427;Office Supplies;Newell 330;1;5,98;4,4252;1,5548
299;Belleville;New Jersey;OFF-PA-10002105;Office Supplies;Xerox 223;5;32,4;16,848;15,552
300;Belleville;New Jersey;OFF-ST-10002756;Office Supplies;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";8;1082,48;1071,6552;10,8248
301;Belleville;New Jersey;OFF-PA-10004243;Office Supplies;Xerox 1939;3;56,91;29,5932;27,3168
302;Belleville;New Jersey;FUR-FU-10001861;Furniture;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;4;77,6;39,576;38,024
303;Belleville;New Jersey;OFF-BI-10002706;Office Supplies;Avery Premier Heavy-Duty Binder with Round Locking Rings;1;14,28;7,7112;6,5688
305;New York City;New York;FUR-FU-10002671;Furniture;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;2;26,8;13,936;12,864
306;Taylor;Michigan;OFF-AR-10003651;Office Supplies;Newell 350;3;9,84;6,9864;2,8536
307;Lakewood;New Jersey;OFF-BI-10001072;Office Supplies;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;3;45,48;24,5592;20,9208
308;Lakewood;New Jersey;OFF-AR-10002135;Office Supplies;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;6;289,2;205,332;83,868
309;Arlington;Virginia;OFF-AR-10002804;Office Supplies;Faber Castell Col-Erase Pencils;1;4,89;2,8851;2,0049
314;Hackensack;New Jersey;FUR-FU-10001588;Furniture;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;3;87,54;49,8978;37,6422
319;New York City;New York;TEC-MA-10002927;Technology;Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier;2;3991,98;1995,99;1995,99
320;New York City;New York;TEC-PH-10004093;Technology;Panasonic Kx-TS550;6;275,94;195,9174;80,0226
321;New York City;New York;TEC-AC-10000892;Technology;NETGEAR N750 Dual Band Wi-Fi Gigabit Router;4;360;230,4;129,6
322;New York City;New York;OFF-ST-10002974;Office Supplies;Trav-L-File Heavy-Duty Shuttle II, Black;1;43,57;30,499;13,071
323;Long Beach;California;OFF-FA-10000624;Office Supplies;OIC Binder Clips;2;7,16;3,58;3,58
325;Hesperia;California;TEC-AC-10001908;Technology;Logitech Wireless Headset h800;1;99,99;64,9935;34,9965
340;Layton;Utah;OFF-FA-10000490;Office Supplies;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";4;4,96;2,6288;2,3312
347;Lowell;Massachusetts;OFF-AR-10004027;Office Supplies;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;3;7,56;4,4604;3,0996
348;Lowell;Massachusetts;OFF-PA-10000249;Office Supplies;Easy-staple paper;2;24,56;13,0168;11,5432
349;Lowell;Massachusetts;OFF-AR-10001374;Office Supplies;BIC Brite Liner Highlighters, Chisel Tip;2;12,96;8,8128;4,1472
350;New York City;New York;TEC-AC-10000290;Technology;Sabrent 4-Port USB 2.0 Hub;1;6,79;4,4814;2,3086
351;New York City;New York;OFF-PA-10001970;Office Supplies;Xerox 1881;2;24,56;13,0168;11,5432
353;New York City;New York;OFF-PA-10001970;Office Supplies;Xerox 1881;4;49,12;26,0336;23,0864
356;New York City;New York;OFF-EN-10001137;Office Supplies;#10 Gummed Flap White Envelopes, 100/Box;2;8,26;4,4604;3,7996
357;New York City;New York;OFF-AR-10002399;Office Supplies;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;4;17,04;10,0536;6,9864
358;New York City;New York;OFF-PA-10002713;Office Supplies;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;5;34,4;18,576;15,824
360;Columbus;Georgia;OFF-AP-10001124;Office Supplies;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;8;647,84;479,4016;168,4384
361;Columbus;Georgia;OFF-LA-10001158;Office Supplies;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";2;20,7;10,764;9,936
362;New York City;New York;OFF-LA-10001158;Office Supplies;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";2;20,7;10,764;9,936
364;New York City;New York;OFF-AR-10003732;Office Supplies;Newell 333;2;5,56;4,1144;1,4456
365;New York City;New York;FUR-FU-10000023;Furniture;Eldon Wave Desk Accessories;8;47,12;26,3872;20,7328
366;San Francisco;California;OFF-ST-10001713;Office Supplies;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;4;211,96;203,4816;8,4784
367;Manchester;Connecticut;OFF-BI-10002412;Office Supplies;Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders;4;23,2;12,76;10,44
368;Manchester;Connecticut;OFF-SU-10001225;Office Supplies;Staple remover;2;7,36;7,2128;0,1472
369;Manchester;Connecticut;OFF-ST-10002406;Office Supplies;Pizazz Global Quick File;7;104,79;75,4488;29,3412
370;Manchester;Connecticut;FUR-BO-10002545;Furniture;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;4;1043,92;772,5008;271,4192
382;San Francisco;California;OFF-PA-10004734;Office Supplies;Southworth Structures Collection;7;50,96;25,48;25,48
384;Taylor;Michigan;TEC-AC-10004708;Technology;Sony 32GB Class 10 Micro SDHC R40 Memory Card;2;41,9;33,101;8,799
391;New York City;New York;TEC-AC-10001998;Technology;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;2;39,98;26,3868;13,5932
393;Des Moines;Washington;TEC-CO-10002313;Technology;Canon PC1080F Personal Copier;3;1799,97;1097,9817;701,9883
396;Warwick;Rhode Island;OFF-ST-10000798;Office Supplies;2300 Heavy-Duty Transfer File Systems by Perma;2;49,96;40,4676;9,4924
397;Warwick;Rhode Island;OFF-PA-10002552;Office Supplies;Xerox 1958;2;12,96;6,7392;6,2208
398;Jackson;Michigan;OFF-SU-10002573;Office Supplies;"Acme 10"" Easy Grip Assistive Scissors";4;70,12;49,084;21,036
405;New York City;New York;OFF-AP-10004249;Office Supplies;Staple holder;3;35,91;26,2143;9,6957
406;San Francisco;California;TEC-AC-10000158;Technology;Sony 64GB Class 10 Micro SDHC R40 Memory Card;5;179,95;142,1605;37,7895
408;San Francisco;California;OFF-PA-10003724;Office Supplies;Wirebound Message Book, 4 per Page;5;27,15;13,8465;13,3035
410;San Francisco;California;OFF-PA-10002893;Office Supplies;"Wirebound Service Call Books, 5 1/2"" x 4""";1;9,68;5,0336;4,6464
411;San Francisco;California;OFF-LA-10003766;Office Supplies;Self-Adhesive Removable Labels;9;28,35;14,742;13,608
412;San Francisco;California;OFF-PA-10001970;Office Supplies;Xerox 1908;1;55,98;28,5498;27,4302
415;Seattle;Washington;OFF-PA-10000157;Office Supplies;Xerox 191;7;139,86;74,1258;65,7342
417;Huntington Beach;California;OFF-AR-10004344;Office Supplies;Bulldog Vacuum Base Pencil Sharpener;8;95,92;70,0216;25,8984
419;Richmond;Kentucky;OFF-PA-10003845;Office Supplies;Xerox 1987;1;5,78;2,9478;2,8322
420;Los Angeles;California;OFF-AR-10001573;Office Supplies;American Pencil;4;9,32;6,6172;2,7028
421;Los Angeles;California;OFF-EN-10000483;Office Supplies;White Envelopes, White Envelopes with Clear Poly Window;1;15,25;8,235;7,015
423;Lawrence;Massachusetts;FUR-FU-10004712;Furniture;Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black;4;56,56;41,8544;14,7056
424;Lawrence;Massachusetts;OFF-ST-10000918;Office Supplies;Crate-A-Files;3;32,7;24,198;8,502
425;Jackson;Mississippi;FUR-CH-10000015;Furniture;Hon Multipurpose Stacking Arm Chairs;4;866,4;641,136;225,264
426;Canton;Michigan;FUR-FU-10003347;Furniture;Coloredge Poster Frame;2;28,4;17,324;11,076
427;Canton;Michigan;OFF-BI-10001543;Office Supplies;GBC VeloBinder Manual Binding System;8;287,92;149,7184;138,2016
428;New Rochelle;New York;TEC-MA-10000029;Technology;Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner;1;69,99;39,8943;30,0957
434;Lowell;Massachusetts;OFF-ST-10003306;Office Supplies;Letter Size Cart;5;714,3;507,153;207,147
441;Detroit;Michigan;FUR-FU-10000246;Furniture;Aluminum Document Frame;1;12,22;8,554;3,666
442;Detroit;Michigan;OFF-ST-10000060;Office Supplies;Fellowes Bankers Box Staxonsteel Drawer File/Stacking System;3;194,94;171,5472;23,3928
443;Detroit;Michigan;OFF-ST-10003058;Office Supplies;Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays;3;70,95;50,3745;20,5755
444;Detroit;Michigan;OFF-PA-10002222;Office Supplies;"Xerox Color Copier Paper, 11"" x 17"", Ream";4;91,36;49,3344;42,0256
445;Detroit;Michigan;FUR-CH-10002372;Furniture;Office Star - Ergonomically Designed Knee Chair;3;242,94;213,7872;29,1528
446;Detroit;Michigan;OFF-LA-10001317;Office Supplies;Avery 520;7;22,05;11,466;10,584
447;Columbus;Indiana;FUR-FU-10000206;Furniture;GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs;1;2,91;1,5423;1,3677
448;Auburn;New York;OFF-AR-10000588;Office Supplies;Newell 345;3;59,52;44,0448;15,4752
449;Auburn;New York;OFF-ST-10001469;Office Supplies;Fellowes Bankers Box Recycled Super Stor/Drawer;3;161,94;152,2236;9,7164
450;Auburn;New York;OFF-AR-10001953;Office Supplies;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;6;263,88;192,6324;71,2476
451;Auburn;New York;OFF-AR-10003156;Office Supplies;50 Colored Long Pencils;3;30,48;22,5552;7,9248
452;Auburn;New York;OFF-AR-10004974;Office Supplies;Newell 342;3;9,84;6,9864;2,8536
453;Auburn;New York;TEC-PH-10002365;Technology;Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S;4;35,12;25,9888;9,1312
456;Norman;Oklahoma;TEC-AC-10001772;Technology;Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive;4;63,88;38,9668;24,9132
460;Seattle;Washington;OFF-AP-10002472;Office Supplies;3M Office Air Cleaner;4;103,92;67,548;36,372
461;Seattle;Washington;TEC-AC-10004571;Technology;Logitech G700s Rechargeable Gaming Mouse;9;899,91;521,9478;377,9622
471;Lindenhurst;New York;OFF-PA-10004071;Office Supplies;Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box;1;55,48;28,8496;26,6304
472;San Francisco;California;OFF-ST-10002743;Office Supplies;SAFCO Boltless Steel Shelving;3;340,92;337,5108;3,4092
475;San Francisco;California;OFF-ST-10001321;Office Supplies;Decoflex Hanging Personal Folder File, Blue;6;92,52;67,5396;24,9804
476;San Francisco;California;OFF-PA-10001509;Office Supplies;"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""";7;62,65;33,831;28,819
477;San Francisco;California;OFF-PA-10003465;Office Supplies;Xerox 1912;5;94,85;49,322;45,528
479;Troy;New York;FUR-FU-10002671;Furniture;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;3;40,2;20,904;19,296
480;New York City;New York;OFF-AR-10003045;Office Supplies;Prang Colored Pencils;5;14,7;8,085;6,615
481;New York City;New York;OFF-ST-10000689;Office Supplies;Fellowes Strictly Business Drawer File, Letter/Legal Size;5;704,25;619,74;84,51
482;San Diego;California;TEC-AC-10001445;Technology;Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink;3;9,09;7,1811;1,9089
483;New York City;New York;OFF-AR-10002053;Office Supplies;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;2;5,96;4,2912;1,6688
