Row;Product ID;Volume per Unit;Quantity;Category;Product Name;Sales;Profit;Order Date
23;FUR-CH-10004063;15;9;Furniture;Global Deluxe High-Back Manager's Chair;617717;179138;6.1.2018
24;OFF-BI-10004632;1;2;Office Supplies;Ibico Hi-Tech Manual Binding System;146395;65878;6.1.2018
25;OFF-AR-10001662;2;2;Office Supplies;Rogers Handheld Barrel Pencil Sharpener;1315;355;6.1.2018
26;OFF-PA-10000955;3;1;Office Supplies;Southworth 25% Cotton Granite Paper & Envelopes;1570;722;6.1.2018
27;OFF-BI-10004728;4;7;Office Supplies;Wilson Jones Turn Tabs Binder Tool for Ring Binders;8098;3725;6.1.2018
28;TEC-PH-10004539;8;4;Technology;Wireless Extenders zBoost YX545 SOHO Signal Booster;181430;48986;6.1.2018
29;OFF-PA-10002005;1;3;Office Supplies;Xerox 225;4666;2239;6.1.2018
30;OFF-SU-10004884;4;7;Office Supplies;Acme Galleria Hot Forged Steel Scissors with Colored Handles;26426;7664;7.1.2018
31;OFF-ST-10000760;1;11;Office Supplies;Eldon Fold 'N Roll Cart System;36907;10703;7.1.2018
32;OFF-AR-10003696;1;1;Office Supplies;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;8299;2407;7.1.2018
33;OFF-FA-10003112;2;1;Office Supplies;Staples;1894;852;7.1.2018
34;OFF-ST-10002301;5;3;Office Supplies;Tennsco Commercial Shelving;14645;146;7.1.2018
35;FUR-BO-10002545;15;6;Furniture;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;375811;97711;8.1.2018
36;FUR-TA-10001950;15;2;Furniture;Balt Solid Wood Round Tables;214315;19288;8.1.2018
37;OFF-BI-10001460;1;7;Office Supplies;Plastic Binding Combs;25452;11962;8.1.2018
38;OFF-AP-10001205;2;3;Office Supplies;Belkin 5 Outlet SurgeMaster Power Centers;39226;10983;9.1.2018
39;OFF-AR-10004691;5;2;Office Supplies;Boston 1730 StandUp Electric Pencil Sharpener;10262;2668;9.1.2018
40;OFF-PA-10000474;2;3;Office Supplies;Easy-staple paper;25517;11993;9.1.2018
41;TEC-AC-10000420;6;5;Technology;Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning;83988;28556;9.1.2018
42;OFF-PA-10004996;5;5;Office Supplies;"Speediset Carbonless Redi-Letter 7"" x 8 1/2""";12372;5815;9.1.2018
43;FUR-FU-10000076;10;4;Furniture;24-Hour Round Wall Clock;19181;8248;10.1.2018
44;OFF-LA-10004272;5;1;Office Supplies;Avery 482;694;326;10.1.2018
45;FUR-FU-10000010;13;5;Furniture;DAX Value U-Channel Document Frames, Easel Back;5964;1849;10.1.2018
46;FUR-FU-10000965;12;1;Furniture;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";12466;5111;10.1.2018
47;TEC-AC-10002335;8;2;Technology;Logitech Media Keyboard K200;16795;3191;10.1.2018
48;FUR-FU-10000010;13;2;Furniture;DAX Value U-Channel Document Frames, Easel Back;2386;740;11.1.2018
49;OFF-ST-10002615;4;3;Office Supplies;Dual Level, Single-Width Filing Carts;111643;29027;12.1.2018
50;FUR-FU-10004973;10;2;Furniture;Flat Face Poster Frame;9043;3798;12.1.2018
51;OFF-EN-10002621;5;1;Office Supplies;Staple envelope;2347;1174;12.1.2018
52;OFF-PA-10001804;5;6;Office Supplies;Xerox 195;9619;4617;12.1.2018
53;OFF-BI-10004187;5;3;Office Supplies;3-ring staple pack;1354;650;13.1.2018
54;OFF-AR-10003514;3;5;Office Supplies;4009 Highlighters by Sanford;4776;1576;13.1.2018
55;OFF-LA-10003223;5;2;Office Supplies;Avery 508;2357;1155;13.1.2018
56;OFF-EN-10001532;1;3;Office Supplies;Brown Kraft Recycled Envelopes;12226;6113;13.1.2018
57;FUR-FU-10004845;14;9;Furniture;Deflect-o EconoMat Nonstudded, No Bevel Mat;111564;22313;13.1.2018
58;OFF-ST-10000025;2;6;Office Supplies;Fellowes Stor/Drawer Steel Plus Storage Drawers;137419;8245;13.1.2018
59;FUR-FU-10001861;15;4;Furniture;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;18624;9126;13.1.2018
60;FUR-CH-10000422;13;6;Furniture;Global Highback Leather Tilter in Burgundy;131026;20964;13.1.2018
61;FUR-BO-10001608;11;3;Furniture;Hon Metal Bookcases, Black;51106;12776;13.1.2018
62;OFF-AR-10004010;1;6;Office Supplies;Hunt Boston Vacuum Mount KS Pencil Sharpener;50386;13100;13.1.2018
63;OFF-SU-10002881;1;5;Office Supplies;Martin Yale Chadless Opener Electric Letter Opener;999372;19987;13.1.2018
64;TEC-AC-10003174;9;6;Technology;Plantronics S12 Corded Telephone Headset System;155218;62087;13.1.2018
65;OFF-EN-10001990;4;2;Office Supplies;Staple envelope;2726;1281;13.1.2018
66;OFF-ST-10000078;2;5;Office Supplies;Tennsco 6- and 18-Compartment Lockers;318204;57277;13.1.2018
67;OFF-PA-10004983;2;5;Office Supplies;Xerox 23;7776;3732;13.1.2018
68;TEC-PH-10000169;7;4;Technology;ARKON Windshield Dashboard Air Vent Car Mount Holder;16272;325;14.1.2018
69;OFF-FA-10003472;1;2;Office Supplies;Bagged Rubber Bands;605;24;14.1.2018
70;FUR-FU-10001037;13;2;Furniture;DAX Charcoal/Nickel-Tone Document Frame, 5 x 7;4550;2048;14.1.2018
71;TEC-AC-10001445;9;4;Technology;Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink;2909;611;14.1.2018
72;TEC-AC-10004469;9;4;Technology;Microsoft Sculpt Comfort Mouse;38352;16875;14.1.2018
73;OFF-ST-10002562;4;2;Office Supplies;Staple magnet;4502;1261;14.1.2018
74;OFF-ST-10001590;4;5;Office Supplies;Tenex Personal Project File with Scoop Front Design, Black;16176;4206;14.1.2018
75;OFF-PA-10004156;5;1;Office Supplies;Xerox 188;2722;1334;14.1.2018
76;OFF-PA-10000483;2;5;Office Supplies;Xerox 19;37176;16729;14.1.2018
77;OFF-EN-10001137;4;4;Office Supplies;#10 Gummed Flap White Envelopes, 100/Box;3965;1824;15.1.2018
78;OFF-AR-10001573;3;2;Office Supplies;American Pencil;1118;324;15.1.2018
79;TEC-AC-10003628;7;5;Technology;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;35988;15835;15.1.2018
80;TEC-AC-10000844;9;3;Technology;Logitech Gaming G510s - Keyboard;61193;22029;15.1.2018
81;OFF-AR-10003504;4;5;Office Supplies;Newell 347;5136;1489;15.1.2018
82;OFF-EN-10003040;4;2;Office Supplies;Quality Park Security Envelopes;12562;5904;15.1.2018
83;OFF-PA-10004675;3;2;Office Supplies;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";3048;1402;15.1.2018
84;OFF-PA-10001033;5;2;Office Supplies;Xerox 1893;19675;9641;15.1.2018
85;OFF-PA-10004285;2;9;Office Supplies;Xerox 1959;14429;6926;15.1.2018
86;FUR-FU-10001487;10;4;Furniture;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;6701;1943;16.1.2018
87;OFF-BI-10004995;2;4;Office Supplies;GBC DocuBind P400 Electric Binding System;1306550;601013;16.1.2018
88;TEC-AC-10003027;8;3;Technology;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;21737;2826;16.1.2018
89;FUR-CH-10004626;15;3;Furniture;Office Star Flex Back Scooter Chair with Aluminum Finish Frame;72641;17434;16.1.2018
90;OFF-PA-10001260;3;7;Office Supplies;TOPS Money Receipt Book, Consecutively Numbered in Red,;13457;6056;16.1.2018
91;OFF-AR-10003183;2;2;Office Supplies;Avery Fluorescent Highlighter Four-Color Set;1603;481;17.1.2018
92;TEC-AC-10001142;6;4;Technology;First Data FD10 PIN Pad;75840;7584;17.1.2018
93;TEC-AC-10003628;7;1;Technology;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;7198;3167;17.1.2018
94;TEC-AC-10002049;9;3;Technology;Logitech G19 Programmable Gaming Keyboard;89273;16069;17.1.2018
95;FUR-FU-10004017;14;3;Furniture;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";77422;15484;17.1.2018
96;OFF-AP-10000828;5;3;Office Supplies;Avanti 4.4 Cu. Ft. Refrigerator;130306;36486;19.1.2018
97;OFF-EN-10001509;1;1;Office Supplies;Poly String Tie Envelopes;490;230;19.1.2018
98;OFF-PA-10001970;1;1;Office Supplies;Xerox 1881;2947;1385;19.1.2018
99;OFF-PA-10000157;1;4;Office Supplies;Xerox 191;19181;9015;19.1.2018
100;OFF-BI-10000605;2;5;Office Supplies;"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red";4572;2149;20.1.2018
101;TEC-PH-10001061;8;7;Technology;Apple iPhone 5C;167983;43676;20.1.2018
102;FUR-FU-10002918;13;3;Furniture;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;65506;7206;20.1.2018
103;FUR-FU-10003194;14;4;Furniture;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;9264;2779;20.1.2018
104;FUR-FU-10003194;14;2;Furniture;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;4632;1390;20.1.2018
105;OFF-ST-10000760;1;1;Office Supplies;Eldon Fold 'N Roll Cart System;3355;973;20.1.2018
106;OFF-ST-10003123;4;2;Office Supplies;Fellowes Bases and Tops For Staxonsteel/High-Stak Systems;15979;3835;20.1.2018
107;FUR-CH-10002331;11;3;Furniture;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;256306;53824;20.1.2018
108;OFF-AR-10001545;3;2;Office Supplies;Newell 326;845;245;20.1.2018
109;OFF-AR-10003811;1;3;Office Supplies;Newell 327;1591;430;20.1.2018
110;OFF-AR-10002375;1;7;Office Supplies;Newell 351;5510;1598;20.1.2018
111;OFF-AR-10004456;4;3;Office Supplies;Panasonic KP-4ABK Battery-Operated Pencil Sharpener;10541;3057;20.1.2018
112;OFF-EN-10001539;4;3;Office Supplies;Staple envelope;5602;2633;20.1.2018
113;OFF-AR-10003631;3;5;Office Supplies;Staples in misc. colors;5808;1917;20.1.2018
114;OFF-BI-10004364;1;5;Office Supplies;Storex Dura Pro Binders;7128;3208;20.1.2018
115;FUR-FU-10002268;13;3;Furniture;Ultra Door Push Plate;3535;1167;20.1.2018
116;OFF-PA-10002893;3;2;Office Supplies;"Wirebound Service Call Books, 5 1/2"" x 4""";4646;2230;20.1.2018
117;TEC-PH-10003601;6;1;Technology;Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver;39598;11879;21.1.2018
118;OFF-BI-10000546;3;5;Office Supplies;Avery Durable Binders;3456;1693;21.1.2018
119;OFF-BI-10001196;3;4;Office Supplies;Avery Flip-Chart Easel Binder, Black;21485;10098;21.1.2018
120;OFF-ST-10000736;2;3;Office Supplies;Carina Double Wide Media Storage Towers in Natural & Black;58306;2332;21.1.2018
121;TEC-AC-10002049;9;5;Technology;Logitech G19 Programmable Gaming Keyboard;148788;26782;21.1.2018
122;TEC-AC-10003610;7;3;Technology;Logitech Illuminated - Keyboard;43193;20733;21.1.2018
123;FUR-BO-10001619;12;1;Furniture;O'Sullivan Cherrywood Estates Traditional Bookcase;20395;4487;21.1.2018
124;OFF-ST-10004507;2;3;Office Supplies;Advantus Rolling Storage Box;12348;3334;22.1.2018
125;OFF-LA-10003498;3;3;Office Supplies;Avery 475;10656;5328;22.1.2018
126;OFF-LA-10004484;2;5;Office Supplies;Avery 476;4956;2280;22.1.2018
127;OFF-FA-10003472;1;6;Office Supplies;Bagged Rubber Bands;1814;73;22.1.2018
128;TEC-CO-10003236;9;5;Technology;Canon Image Class D660 Copier;719988;331194;22.1.2018
129;FUR-FU-10001475;15;5;Furniture;"Contract Clock, 14"", Brown";26376;8968;22.1.2018
130;OFF-PA-10001667;5;2;Office Supplies;Great White Multi-Use Recycled Paper (20Lb. and 84 Bright);2870;1292;22.1.2018
131;OFF-ST-10004459;3;3;Office Supplies;Tennsco Single-Tier Lockers;270245;13512;22.1.2018
132;OFF-PA-10003953;1;2;Office Supplies;Xerox 218;3110;1493;22.1.2018
133;OFF-AR-10003477;1;6;Office Supplies;4009 Highlighters;1930;656;23.1.2018
134;OFF-FA-10003467;3;3;Office Supplies;Alliance Big Bands Rubber Bands, 12/Pack;1426;0;23.1.2018
135;OFF-LA-10003077;4;2;Office Supplies;Avery 500;3509;1649;23.1.2018
136;FUR-TA-10001857;10;2;Furniture;Balt Solid Wood Rectangular Table;50635;5064;23.1.2018
137;FUR-FU-10000719;12;7;Furniture;DAX Cubicle Frames, 8-1/2 x 11;14398;5183;23.1.2018
138;OFF-ST-10001526;2;13;Office Supplies;Iceberg Mobile Mega Data/Printer Cart ;375430;97612;23.1.2018
139;TEC-AC-10002926;9;2;Technology;Logitech Wireless Marathon Mouse M705;23995;10318;23.1.2018
140;OFF-PA-10002893;3;3;Office Supplies;"Wirebound Service Call Books, 5 1/2"" x 4""";6970;3345;23.1.2018
141;OFF-PA-10002262;3;1;Office Supplies;Xerox 192;1555;746;23.1.2018
142;OFF-PA-10001804;5;6;Office Supplies;Xerox 195;9619;4617;23.1.2018
143;OFF-PA-10004621;2;4;Office Supplies;Xerox 212;6221;2986;23.1.2018
144;OFF-AP-10001492;2;3;Office Supplies;Acco Six-Outlet Power Strip, 4' Cord Length;6206;1614;24.1.2018
145;OFF-FA-10000053;1;3;Office Supplies;Revere Boxed Rubber Bands by Revere;1361;27;24.1.2018
146;OFF-BI-10000285;1;4;Office Supplies;XtraLife ClearVue Slant-D Ring Binders by Cardinal;7526;3763;24.1.2018
147;OFF-AR-10000315;3;3;Office Supplies;Dixon Ticonderoga Maple Cedar Pencil, #2;2210;553;25.1.2018
148;OFF-ST-10004337;2;7;Office Supplies;SAFCO Commercial Wire Shelving, 72h;102883;0;25.1.2018
149;OFF-PA-10000007;1;5;Office Supplies;"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""";4320;1987;25.1.2018
150;FUR-FU-10000747;14;1;Furniture;Tenex B1-RE Series Chair Mats for Low Pile Carpets;11035;1876;25.1.2018
151;FUR-FU-10002157;10;4;Furniture;Artistic Insta-Plaque;15053;5871;26.1.2018
152;OFF-BI-10001890;5;2;Office Supplies;Avery Poly Binder Pockets;1718;825;26.1.2018
153;OFF-FA-10000611;5;8;Office Supplies;Binder Clips by OIC;2842;1364;26.1.2018
154;FUR-FU-10001847;11;3;Furniture;Eldon Image Series Black Desk Accessories;2981;1073;26.1.2018
155;OFF-PA-10003072;4;3;Office Supplies;"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";4666;2239;26.1.2018
156;FUR-FU-10004587;10;3;Furniture;GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack;15077;7388;26.1.2018
157;TEC-PH-10002103;10;2;Technology;Jabra SPEAK 410;45115;12632;26.1.2018
158;TEC-PH-10004833;9;13;Technology;Macally Suction Cup Mount;37284;0;26.1.2018
159;OFF-AR-10001547;5;7;Office Supplies;Newell 311;3713;1002;26.1.2018
160;OFF-PA-10000380;3;2;Office Supplies;"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";4003;2002;26.1.2018
161;OFF-ST-10004337;2;8;Office Supplies;SAFCO Commercial Wire Shelving, 72h;117581;0;26.1.2018
162;FUR-BO-10004409;13;2;Furniture;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;34070;9540;26.1.2018
163;TEC-PH-10001459;9;7;Technology;Samsung Galaxy Mega 6.3;705583;183452;26.1.2018
164;OFF-BI-10001758;4;2;Office Supplies;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;2563;1205;26.1.2018
165;OFF-PA-10003790;2;8;Office Supplies;Xerox 1991;43853;20172;26.1.2018
166;OFF-AR-10003179;2;4;Office Supplies;Dixon Ticonderoga Core-Lock Colored Pencils;8746;2886;27.1.2018
167;TEC-PH-10000193;6;3;Technology;Jensen SMPS-640 - speaker phone;33106;8607;27.1.2018
168;OFF-ST-10003692;1;1;Office Supplies;Recycled Steel Personal File for Hanging File Folders;13735;3434;27.1.2018
169;FUR-FU-10003976;10;3;Furniture;DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7;9058;3080;28.1.2018
170;TEC-AC-10000580;9;3;Technology;Logitech G13 Programmable Gameboard with LCD Display;57593;6335;28.1.2018
171;OFF-AR-10000588;4;2;Office Supplies;Newell 345;9523;2476;28.1.2018
172;TEC-AC-10002800;7;9;Technology;Plantronics Audio 478 Stereo USB Headset;107978;37792;28.1.2018
173;OFF-PA-10000806;2;5;Office Supplies;Xerox 1934;67176;32916;28.1.2018
174;OFF-SU-10001664;2;1;Office Supplies;Acme Office Executive Series Stainless Steel Trimmers;2057;535;29.1.2018
175;FUR-FU-10000010;13;3;Furniture;DAX Value U-Channel Document Frames, Easel Back;3578;1109;29.1.2018
176;OFF-AR-10001216;1;3;Office Supplies;Newell 339;2002;520;29.1.2018
177;OFF-LA-10001045;4;2;Office Supplies;Permanent Self-Adhesive File Folder Labels for Typewriters by Universal;1253;576;29.1.2018
178;OFF-ST-10001590;4;1;Office Supplies;Tenex Personal Project File with Scoop Front Design, Black;3235;841;29.1.2018
179;OFF-PA-10000176;5;5;Office Supplies;Xerox 1887;22764;10927;29.1.2018
180;OFF-PA-10003848;5;2;Office Supplies;Xerox 1997;3110;1493;29.1.2018
181;TEC-PH-10004614;7;3;Technology;AT&T 841000 Phone;49680;12420;30.1.2018
182;OFF-LA-10004689;4;9;Office Supplies;Avery 512;6242;2934;30.1.2018
183;OFF-AR-10004648;5;2;Office Supplies;Boston 19500 Mighty Mite Electric Pencil Sharpener;9672;2611;30.1.2018
184;OFF-BI-10001036;1;2;Office Supplies;Cardinal EasyOpen D-Ring Binders;4387;2194;30.1.2018
185;FUR-FU-10002597;12;7;Furniture;C-Line Magnetic Cubicle Keepers, Clear Polypropylene;8299;3486;30.1.2018
186;FUR-FU-10001876;15;7;Furniture;"Computer Room Manger, 14""";54566;19644;30.1.2018
187;OFF-AR-10003759;4;7;Office Supplies;Crayola Anti Dust Chalk, 12/Pack;3058;1376;30.1.2018
188;OFF-BI-10003910;2;1;Office Supplies;DXL Angle-View Binders with Locking Rings by Samsill;1850;833;30.1.2018
189;OFF-ST-10000675;5;9;Office Supplies;File Shuttle II and Handi-File, Black;73202;18301;30.1.2018
190;OFF-BI-10000301;1;5;Office Supplies;GBC Instant Report Kit;7764;3882;30.1.2018
191;OFF-AR-10001227;1;3;Office Supplies;Newell 338;2117;572;30.1.2018
192;FUR-BO-10000468;10;1;Furniture;O'Sullivan 2-Shelf Heavy-Duty Bookcases;11659;1865;30.1.2018
193;OFF-ST-10001511;4;2;Office Supplies;Space Solutions Commercial Steel Shelving;31032;1552;30.1.2018
194;OFF-ST-10000991;1;2;Office Supplies;Space Solutions HD Industrial Steel Shelving.;55186;1656;30.1.2018
195;OFF-PA-10001204;4;2;Office Supplies;Xerox 1972;2534;1140;30.1.2018
196;OFF-EN-10004483;2;8;Office Supplies;#10 White Business Envelopes,4 1/8 x 9 1/2;30086;14141;31.1.2018
197;OFF-PA-10002764;2;5;Office Supplies;Easy-staple paper;13608;6668;31.1.2018
198;OFF-BI-10003527;4;1;Office Supplies;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;305038;152519;31.1.2018
199;OFF-BI-10002852;4;2;Office Supplies;Ibico Standard Transparent Covers;7910;3876;31.1.2018
200;FUR-FU-10003799;12;3;Furniture;"Seth Thomas 13 1/2"" Wall Clock";12802;3968;31.1.2018
201;OFF-EN-10003134;4;2;Office Supplies;Staple envelope;5606;2803;31.1.2018
202;OFF-PA-10003177;5;2;Office Supplies;Xerox 1999;3110;1493;31.1.2018
203;TEC-AC-10001432;9;6;Technology;Enermax Aurora Lite Keyboard;112536;49516;1.2.2018
204;OFF-PA-10002254;5;4;Office Supplies;Xerox 1883;25325;11649;1.2.2018
205;OFF-ST-10002214;1;5;Office Supplies;X-Rack File for Hanging Folders;13548;3522;1.2.2018
206;FUR-FU-10001731;15;7;Furniture;Acrylic Self-Standing Desk Frames;4486;1705;2.2.2018
207;OFF-ST-10003994;1;2;Office Supplies;"Belkin 19"" Center-Weighted Shelf, Gray";28310;1416;2.2.2018
208;FUR-FU-10000293;10;2;Furniture;Eldon Antistatic Chair Mats for Low to Medium Pile Carpets;50539;3032;2.2.2018
209;OFF-AP-10000252;4;4;Office Supplies;Harmony HEPA Quiet Air Purifiers;11232;3931;2.2.2018
210;FUR-FU-10003039;14;2;Furniture;"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock";20702;7039;2.2.2018
211;TEC-MA-10001127;8;5;Technology;"HP Designjet T520 Inkjet Large Format Printer - 24"" Color";2099988;671996;2.2.2018
212;OFF-ST-10000464;5;4;Office Supplies;Multi-Use Personal File Cart and Caster Set, Three Stacking Bins;33370;9343;2.2.2018
213;OFF-BI-10002557;4;8;Office Supplies;Presstex Flexible Ring Binders;8736;4368;2.2.2018
214;OFF-FA-10001843;2;5;Office Supplies;Staples;2964;1393;2.2.2018
215;FUR-FU-10003347;13;2;Furniture;Coloredge Poster Frame;6816;2658;3.2.2018
216;FUR-FU-10004093;15;4;Furniture;Hand-Finished Solid Wood Document Frame;32861;9858;3.2.2018
217;FUR-CH-10000015;13;4;Furniture;Hon Multipurpose Stacking Arm Chairs;207936;54063;3.2.2018
218;TEC-AC-10004901;7;3;Technology;Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ;35993;12238;3.2.2018
219;OFF-EN-10003286;4;9;Office Supplies;Staple envelope;17885;8406;3.2.2018
220;TEC-PH-10002890;6;2;Technology;AT&T 17929 Lendline Telephone;21715;5646;4.2.2018
221;OFF-AP-10003971;5;3;Office Supplies;Belkin 6 Outlet Metallic Surge Strip;7841;2039;4.2.2018
222;OFF-PA-10000350;1;4;Office Supplies;"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book";8218;3862;4.2.2018
223;OFF-ST-10004180;1;2;Office Supplies;Safco Commercial Shelving;22325;893;4.2.2018
224;TEC-PH-10003645;9;3;Technology;Aastra 57i VoIP phone;116359;30253;5.2.2018
225;OFF-EN-10003001;4;2;Office Supplies;Ames Color-File Green Diamond Border X-ray Mailers;40310;18946;5.2.2018
226;OFF-LA-10003223;5;3;Office Supplies;Avery 508;3535;1732;5.2.2018
227;OFF-ST-10004804;4;3;Office Supplies;"Belkin 19"" Vented Equipment Shelf, Black";37066;371;5.2.2018
228;FUR-BO-10004015;10;2;Furniture;Bush Andora Bookcase, Maple/Graphite Gray Finish;57595;12671;5.2.2018
229;OFF-ST-10002344;5;1;Office Supplies;"Carina 42""Hx23 3/4""W Media Storage Unit";19435;389;5.2.2018
230;FUR-FU-10004091;15;3;Furniture;Eldon 200 Class Desk Accessories, Black;4522;1718;5.2.2018
231;OFF-ST-10004340;4;3;Office Supplies;Fellowes Mobile File Cart, Black;44770;12088;5.2.2018
232;TEC-PH-10000215;9;3;Technology;Plantronics Cordless Phone Headset with In-line Volume - M214C;25164;6794;5.2.2018
233;OFF-FA-10000053;1;5;Office Supplies;Revere Boxed Rubber Bands by Revere;2268;45;5.2.2018
234;OFF-AP-10000275;5;5;Office Supplies;Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black;393768;110255;5.2.2018
235;OFF-PA-10001289;4;9;Office Supplies;White Computer Printout Paper by Universal;83722;41024;5.2.2018
236;OFF-PA-10000357;2;3;Office Supplies;White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11;29513;14461;5.2.2018
237;OFF-PA-10003892;2;7;Office Supplies;Xerox 1943;82169;38619;5.2.2018
238;TEC-PH-10003645;9;1;Technology;Aastra 57i VoIP phone;38786;10084;6.2.2018
239;TEC-PH-10001615;6;5;Technology;AT&T CL82213;34788;10089;6.2.2018
240;OFF-LA-10002787;1;4;Office Supplies;Avery 480;3600;1728;6.2.2018
241;FUR-BO-10004015;10;3;Furniture;Bush Andora Bookcase, Maple/Graphite Gray Finish;86393;19006;6.2.2018
242;TEC-PH-10002538;9;6;Technology;Grandstream GXP1160 VoIP phone;54590;15831;6.2.2018
243;FUR-BO-10002598;11;4;Furniture;Hon Metal Bookcases, Putty;68141;19761;6.2.2018
244;OFF-AR-10001315;2;3;Office Supplies;Newell 310;1267;367;6.2.2018
245;FUR-CH-10001708;15;9;Furniture;Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back;304517;63949;6.2.2018
246;OFF-AR-10001022;2;2;Office Supplies;SANFORD Liquid Accent Tank-Style Highlighters;1363;423;6.2.2018
247;OFF-ST-10002554;1;3;Office Supplies;Tennsco Industrial Shelving;35215;704;6.2.2018
248;OFF-PA-10002751;3;5;Office Supplies;Xerox 1920;7176;3229;6.2.2018
249;OFF-PA-10001593;2;5;Office Supplies;Xerox 1947;7176;3229;6.2.2018
250;OFF-ST-10001558;5;4;Office Supplies;Acco Perma 4000 Stacking Storage Drawers;15590;2339;7.2.2018
